POSIX,source,app,x_x0,y_y0,t_t0
1505150544,73,2,0.109363574189889,-0.0562655661875271,2
1505151373,91,2,-0.0258279830264826,0.00591783695151514,0
1505161395,122,2,-0.0290775876494385,-0.00547874294979201,0
1505161871,78,2,-0.00331980073989104,-0.114084033471994,0
1505162576,103,2,0.0802038410651469,-0.0562821182771546,0
1505205181,60,2,-0.00912965679594304,0.126698920243453,0
1505205411,87,2,-0.125438999265765,0.019348323024191,0
1505210523,39,2,-0.110877368643618,-0.0518468923635124,2
1505216936,103,2,-0.062862688333702,-0.0662039951872853,0
1505221050,38,2,0.00210309248177314,-0.0306718754265343,1
1505240040,145,2,0.0656682401954457,0.0014568011413912,0
1505241693,36,2,-0.0747516772616101,-0.0389867966424422,0
1505243220,21,2,0.129870970622536,0.00881857684081095,1
1505246452,134,2,-0.199861491278841,0.0637851788305718,0
1505247863,49,2,0.107267043467752,0.142097593229351,0
1505248538,41,2,-0.0727591299686562,-0.00877936850433682,0
1505294551,32,2,0.0219927955621113,-0.0533448039135043,1
1505294891,26,2,0.111150587373046,-0.0366032382531085,1
1505295661,149,2,0.0130899129243372,-0.0145717693702112,2
1505305487,55,2,0.167851432319682,-0.0864565810003238,0
1505308444,131,2,0.00671187785434398,-0.0695877153882739,1
1505310368,62,2,0.0251427030114465,0.00538843431710198,0
1505312335,10,2,0.152723204499656,0.101429742615781,0
1505316945,50,2,-0.153131371977421,-0.080848157876365,0
1505319563,3,2,0.0554883408432263,-0.0620132958529504,1
1505320817,76,2,-0.0250911416412355,-0.0381142092860394,1
1505321280,104,2,0.160206925088524,-0.0794342582325942,4
1505324473,120,2,0.0308482326408208,0.0762000095203081,0
1505329080,26,2,0.0253899409818077,0.111434768004985,0
1505334511,31,2,0.0339971749350485,0.118712979171013,0
1505379526,60,2,-0.0287126789608447,0.0627734991171001,0
1505387186,3,2,-0.16125656593672,0.0740946015314602,0
1505388068,148,2,-0.109398344125553,0.0146869962040692,0
1505390374,7,2,-0.112035776088263,-0.160028629435793,2
1505390741,56,2,0.0354810839638033,0.0649561228941639,0
1505397641,75,2,-0.0324105583314218,0.0447306566502609,1
1505400480,40,2,-0.0395756798408671,0.0991621218762621,1
1505403419,110,2,-0.0105053664740796,0.11144341906026,0
1505407890,122,2,0.0171164010449954,0.103589897410549,0
1505410801,83,2,-0.0417372661868473,0.15648680646975,1
1505411301,40,2,-0.255335901960002,-0.063000154134106,0
1505414198,110,2,-0.184792769800861,-0.0687193157170625,0
1505419117,27,2,0.0725100629590963,0.030453721871666,0
1505420061,13,2,0.0128673699341316,0.0612245467694684,0
1505422214,44,2,0.0203309443646455,-0.031229324222949,0
1505466087,16,2,0.146830994295378,0.0422264928465058,0
1505469194,91,2,0.148187628497573,0.079494968400687,0
1505470864,145,2,-0.19234673967446,0.0449170028533011,0
1505471958,120,2,-0.0714399594959918,-0.19487630621299,1
1505472565,20,2,0.0156812680418638,0.0477864803175191,0
1505476670,11,2,0.0420517480699874,-0.16099508781816,1
1505477998,56,2,-0.124646228526967,-0.114784831116064,0
1505480104,54,2,-0.0130102948928629,0.0174396231461139,0
1505483080,153,2,0.0269340403462225,-0.154432356848178,1
1505490838,82,2,0.134919551785259,0.0477880727478103,0
1505491839,138,2,0.0395212271285858,0.151560981168139,0
1505494182,20,2,-0.0165896857991972,0.0825468663317013,1
1505497962,78,2,-0.0870286495716065,0.0109431849844928,0
1505501297,146,2,-0.047971789944998,-0.0841701827732898,0
1505501865,154,2,-0.0424853951568408,0.0970888169354206,1
1505508026,86,2,-0.0104905650367042,-0.138098811522248,1
1505508974,3,2,-0.0235124713055784,-0.014677618574483,0
1505560035,58,2,-0.0769093364604908,-0.117716324534651,0
1505563521,77,2,-0.135406410603311,-0.0847723842706905,0
1505570010,6,2,-0.136851378046373,0.10211591168424,1
1505577562,116,2,-0.0115925660670819,0.00189098389123685,0
1505591849,13,2,-0.0721250977642047,-0.0847605360548621,1
1505593451,44,2,-0.0600857617062365,-0.00841567666001145,0
1505637333,119,2,0.0774863770099747,0.0407040170088073,3
1505639160,74,2,-0.0518997993755375,-0.000799850690646271,0
1505649266,35,2,0.078154356304474,0.0357005332836676,2
1505668024,60,2,0.0668704343848588,-0.131817351118299,0
1505668895,78,2,-0.00302633017740651,0.121184740029995,1
1505674173,64,2,0.0371620012085898,-0.022830097734999,0
1505723118,153,2,0.170958395174836,0.187508402990874,1
1505726054,8,2,-0.0362988634855235,-0.0629223181408387,2
1505728192,73,2,0.183460337958218,0.106530578645224,0
1505730262,124,2,-0.122752758241533,-0.067696919641584,0
1505737284,96,2,0.0997546566631369,0.227133439310178,0
1505737988,102,2,0.0206581187092096,0.0487415267077392,0
1505738227,3,2,-0.26507108315154,0.0119193918026696,0
1505747132,66,2,-0.172197672135833,0.00224383949563121,1
1505747514,29,2,-0.0137804167597676,-0.0824479784619427,0
1505754405,143,2,-0.00890558441732636,-0.12160807792278,0
1505755413,114,2,-0.051722124444091,0.107449792157489,0
1505757178,148,2,0.111000361780341,-0.125526550616793,1
1505758621,41,2,-0.0750010269161149,0.0787300415763966,1
1505760379,30,2,0.0946723252468614,0.00327913271633567,1
1505767802,116,2,0.1158777782666,-0.0941389959057549,0
1505809115,12,2,0.0368571438899934,-0.0696431374317164,0
1505809705,78,2,-0.0257529722073723,0.209747177546742,0
1505810889,89,2,0.134413336867893,-0.136425391724934,3
1505813667,4,2,-0.14784976845551,0.18993781681717,2
1505814113,122,2,0.0281705760232131,-0.025870921544118,0
1505815177,111,2,-0.116884224870814,-0.0874991323018832,1
1505821012,71,2,0.150216885598775,0.0801496642228805,0
1505829666,102,2,0.0770738674879816,-0.0460177701701911,0
1505829814,81,2,-0.106028800851613,0.102376727534175,0
1505833617,133,2,0.0299227418917851,0.105617446453409,0
1505834413,81,2,-0.125055055268894,-0.0364267200640381,1
1505836357,68,2,0.0759818598103205,-0.206268492468258,4
1505838212,119,2,0.0727628434627916,-0.033165944474564,0
1505848382,119,2,0.0687772043866132,-0.0621364341633893,1
1505852209,97,2,0.145425583773216,-0.0290992602771056,0
1505853163,93,2,-0.0526559712352016,0.0755271545490356,1
1505896391,137,2,0.0119774073648548,-0.0510006639559789,0
1505899437,41,2,0.0930802643520638,-0.00834629144209849,1
1505909326,12,2,0.00471850484583939,-0.10129522248273,0
1505911135,134,2,-0.0977881480330753,-0.0962295580490045,0
